"Time (s)","Angular velocity (rad/s)","Acceleration (m/s^2)"
4.623019900E-2,1.556040631E-1,2.992477991E-1
5.462301990E-1,3.984393669E-1,5.993299112E-1
1.046230199E0,1.033915156E0,1.335413228E0
1.546230199E0,1.294161267E0,1.119228520E0
2.046230199E0,1.407457922E0,6.402112443E-1
2.796230199E0,1.975908047E0,9.465763122E-1
3.546230199E0,2.047204236E0,6.959997070E-1
4.546230199E0,2.253494503E0,1.078933523E0
5.046230199E0,2.462317909E0,2.116341136E0
5.546230199E0,2.423240549E0,2.547805528E0
6.046230199E0,2.299764706E0,1.172173628E0
6.546230199E0,2.673221186E0,1.421699973E0
7.046230199E0,2.692118598E0,2.211193768E0
7.546230199E0,2.391601832E0,2.552717908E0
8.046230199E0,1.667519311E0,1.708335757E0
