"Time shift (s)","Autocorrelation of sum"
0.000000000E0,4.838927570E0
1.998846100E-2,4.666247363E0
3.996073000E-2,4.313246278E0
5.998461500E-2,4.021461379E0
7.994076800E-2,3.851531909E0
9.992403800E-2,3.734785409E0
1.198942300E-1,3.589201424E0
1.398708840E-1,3.362515888E0
1.598437680E-1,3.033262312E0
1.798258070E-1,2.649790423E0
1.997962680E-1,2.296325758E0
2.197756140E-1,2.018039471E0
2.397324990E-1,1.788140302E0
2.597171910E-1,1.533885520E0
2.796896910E-1,1.207995263E0
2.997131140E-1,8.194893007E-1
3.196844980E-1,4.190298918E-1
3.396676910E-1,5.127984025E-2
3.596359980E-1,-2.725116017E-1
3.796105750E-1,-5.665939391E-1
3.995672670E-1,-8.463709539E-1
4.195515360E-1,-1.112602313E0
4.395229590E-1,-1.367567725E0
4.594999590E-1,-1.600799575E0
4.794778440E-1,-1.805242058E0
4.994656510E-1,-1.991075063E0
5.194509210E-1,-2.180640438E0
5.394843440E-1,-2.373247368E0
5.594576130E-1,-2.536523747E0
5.794558820E-1,-2.639560909E0
5.994530360E-1,-2.674200818E0
6.194332280E-1,-2.676564065E0
6.394090360E-1,-2.684221169E0
6.593944200E-1,-2.702079844E0
6.793656890E-1,-2.694866688E0
6.993463050E-1,-2.615627929E0
7.192998810E-1,-2.467187573E0
7.392818040E-1,-2.302658879E0
7.592488040E-1,-2.163215558E0
7.792697270E-1,-2.040973094E0
7.992433040E-1,-1.906136901E0
8.192266890E-1,-1.741422194E0
8.391970350E-1,-1.539047676E0
8.591734190E-1,-1.309966491E0
9.091064030E-1,-1.076622366E0
9.291022110E-1,-8.512989101E-1
9.491522100E-1,-6.296880085E-1
9.691468640E-1,-4.208625818E-1
9.891419030E-1,-2.173030319E-1
1.009136018E0,1.425435820E-2
1.029090056E0,2.823525371E-1
1.049080479E0,5.423777378E-1
1.069119979E0,7.570233074E-1
1.089105402E0,9.252675755E-1
1.109104479E0,1.066496544E0
1.129098633E0,1.209877834E0
1.149095633E0,1.365958596E0
1.169074171E0,1.522550643E0
1.189076710E0,1.671445621E0
1.209070863E0,1.792778889E0
1.229061133E0,1.852667888E0
1.249047709E0,1.853565302E0
1.269047094E0,1.859762958E0
1.289028978E0,1.918864643E0
1.309065248E0,1.992449878E0
1.329028978E0,2.026305108E0
1.349026286E0,2.016548863E0
1.369011709E0,1.969413617E0
1.389005132E0,1.867097117E0
1.408983324E0,1.718490351E0
1.428969055E0,1.566811918E0
1.448944478E0,1.444155435E0
1.468922785E0,1.327926435E0
1.488888208E0,1.165963312E0
1.508871516E0,9.491887300E-1
1.528843362E0,7.177884935E-1
1.548843362E0,5.154193824E-1
1.568822631E0,3.517366676E-1
1.588807439E0,2.031082022E-1
1.608780631E0,3.530316820E-2
1.628754400E0,-1.583853270E-1
1.648707592E0,-3.665570983E-1
1.668689785E0,-5.832477345E-1
1.688661015E0,-8.120219872E-1
1.708637823E0,-1.051872339E0
1.728610284E0,-1.287346415E0
1.748594477E0,-1.494398838E0
1.768565977E0,-1.653860011E0
1.788589630E0,-1.771444234E0
1.808551053E0,-1.873769934E0
1.828531246E0,-1.973701555E0
1.848507015E0,-2.068997549E0
1.868478399E0,-2.149529310E0
1.888446899E0,-2.205083041E0
1.908436476E0,-2.222527425E0
1.928416668E0,-2.199709765E0
1.948399207E0,-2.161416422E0
1.968372130E0,-2.136020437E0
1.988336168E0,-2.126423032E0
2.008304514E0,-2.097135546E0
2.028320014E0,-2.007912126E0
2.048293514E0,-1.859169756E0
2.068274822E0,-1.670232694E0
2.088244591E0,-1.463517617E0
2.108217745E0,-1.270410130E0
2.128167283E0,-1.118719254E0
2.148145783E0,-1.003517107E0
2.168117629E0,-8.926817404E-1
2.188093398E0,-7.489287507E-1
2.208065398E0,-5.593717649E-1
2.228044129E0,-3.571498230E-1
2.248012090E0,-1.846213710E-1
2.268059129E0,-5.039539852E-2
2.288014052E0,8.099497402E-2
2.307990513E0,2.378834760E-1
2.327957936E0,4.284959042E-1
2.347927397E0,6.538331244E-1
2.367898397E0,8.914056635E-1
2.387878205E0,1.107405927E0
2.407845474E0,1.279932877E0
2.427817782E0,1.395198446E0
2.447770282E0,1.456780117E0
2.467752397E0,1.494782772E0
2.487722358E0,1.548969235E0
2.507737051E0,1.632506464E0
2.527707666E0,1.715210255E0
2.547691704E0,1.752153949E0
2.567655935E0,1.726121310E0
2.587629166E0,1.658204624E0
2.607580166E0,1.585543928E0
2.627558743E0,1.543324651E0
2.647527473E0,1.536810833E0
2.667512127E0,1.523455579E0
2.687495050E0,1.447459671E0
2.707474935E0,1.302043303E0
2.727441973E0,1.127884229E0
2.747460973E0,9.698090827E-1
2.767414127E0,8.492768064E-1
2.787393780E0,7.626723042E-1
2.807364165E0,6.775610263E-1
2.827338973E0,5.604348400E-1
2.847315742E0,4.081032382E-1
2.867301780E0,2.416348123E-1
2.887276203E0,8.714589049E-2
2.907255049E0,-3.573526441E-2
2.927205357E0,-1.367039553E-1
2.947186126E0,-2.435686766E-1
2.967160703E0,-3.699402774E-1
2.987182549E0,-5.006833044E-1
3.007156626E0,-6.151063171E-1
3.027139510E0,-7.070810670E-1
3.047107895E0,-7.919604097E-1
3.067081741E0,-8.766492180E-1
3.087043664E0,-9.584885476E-1
3.107037587E0,-1.037416572E0
3.127010625E0,-1.088156059E0
3.146983933E0,-1.086433620E0
3.166953587E0,-1.056798302E0
3.186929933E0,-1.048520177E0
3.206902125E0,-1.059939400E0
3.226922356E0,-1.038684189E0
3.246873125E0,-9.676021084E-1
3.266856240E0,-8.833160087E-1
3.286833509E0,-8.148244408E-1
3.306797702E0,-7.677920825E-1
3.326764317E0,-7.363391804E-1
3.346753240E0,-7.275474940E-1
3.366712201E0,-7.234601163E-1
3.386678047E0,-6.790820521E-1
3.406699432E0,-5.818198796E-1
3.426675201E0,-4.840863046E-1
3.446643509E0,-4.426647433E-1
3.466627355E0,-4.482679247E-1
3.486595162E0,-4.548248587E-1
3.506565662E0,-4.346125833E-1
3.526545316E0,-3.902480674E-1
3.546515893E0,-3.403611144E-1
3.566468701E0,-3.276562296E-1
3.586455200E0,-3.780470904E-1
3.606426123E0,-4.701641472E-1
3.626398162E0,-5.432204466E-1
3.646391585E0,-5.535681343E-1
3.666373008E0,-5.067247598E-1
3.686348085E0,-4.478253398E-1
3.706331046E0,-4.148077202E-1
3.726290777E0,-4.113646616E-1
3.746272508E0,-4.078285690E-1
3.766257161E0,-3.778938246E-1
3.786227546E0,-3.272039733E-1
3.806203430E0,-3.000570863E-1
3.826198969E0,-3.120245840E-1
3.846172084E0,-3.286775467E-1
3.866143315E0,-3.150771163E-1
3.886099545E0,-2.706892399E-1
3.906073276E0,-2.210400265E-1
3.926040584E0,-1.774103246E-1
3.946024891E0,-1.373811983E-1
3.965999814E0,-7.591893607E-2
3.985981122E0,3.704065173E-2
4.005964968E0,1.950305714E-1
4.025935506E0,3.433660925E-1
4.045892622E0,4.458511573E-1
4.065886199E0,4.994005938E-1
4.085858122E0,5.309998059E-1
4.105828737E0,5.783331222E-1
4.125818852E0,6.602595427E-1
4.145800583E0,7.759629408E-1
4.165776737E0,9.013738319E-1
4.185762660E0,1.008959728E0
4.205719775E0,1.071902366E0
4.225698198E0,1.091928932E0
4.245647736E0,1.125847750E0
4.265619890E0,1.201935633E0
4.285596082E0,1.284395042E0
4.305588505E0,1.311966777E0
4.325555890E0,1.266617297E0
4.345525659E0,1.180216355E0
4.365483582E0,1.066167920E0
4.385459082E0,9.455313162E-1
4.405422082E0,8.677057689E-1
4.425404351E0,8.596408137E-1
4.445373082E0,8.775016433E-1
4.465349312E0,8.526957790E-1
4.485333197E0,7.655578188E-1
4.505305966E0,6.424126238E-1
4.525264812E0,5.081503608E-1
4.545265004E0,3.789845284E-1
4.565238851E0,2.784120183E-1
4.585211620E0,2.220730270E-1
4.605197543E0,1.784857501E-1
4.625174889E0,7.765845355E-2
4.645143158E0,-1.106228772E-1
4.665127966E0,-3.229214986E-1
4.685087158E0,-4.742254646E-1
4.705063427E0,-5.293439472E-1
4.725045350E0,-5.301382480E-1
4.745015696E0,-5.440301186E-1
4.764994157E0,-6.041612809E-1
4.784987811E0,-7.088595221E-1
4.804957003E0,-8.325553102E-1
4.824925696E0,-9.294728564E-1
4.844885696E0,-9.584385304E-1
4.864863465E0,-9.457617171E-1
4.884830119E0,-9.528450623E-1
4.904820542E0,-1.001639729E0
4.924804811E0,-1.067704642E0
4.944792003E0,-1.138945337E0
4.964776772E0,-1.208914566E0
4.984748580E0,-1.259654754E0
